gauge_id,cwc_lat,cwc_lon,ghi_lat,ghi_lon,elev_mean,elev_median,elev_min,elev_max,slope_mean,slope_median,slope_min,slope_max,cwc_area,ghi_area,gauge_elevation,dpsbar
9002,14.5722,78.8,14.57293,78.79789,458.9351632,432.0,118,1441,5.176799953,2.150133371,0.0,117.0291443,37981.0,37720.9,120,4.846242404
9005,14.5806,78.6778,14.58124,78.67705,540.8020885,567.0,133,1358,6.763941368,3.222442389,0.0,116.0229416,7187.0,7157.2,139,6.258822107
9008,14.7211,79.0189,14.71875,79.01875,312.3976994,264.0,114,875,10.85645211,3.040747881,0.0,113.0923309,2486.0,2460.6,117,7.710087245
9009,14.4703,79.9889,14.46877,79.98956,419.5757946,395.0,2,1441,6.343710027,2.294164658,0.0,185.4616547,50800.0,54544.3,11,5.335701633
9011,14.5978,78.0133,14.59792,78.01456,553.3518925,540.0,257,1220,6.309262964,2.872352362,0.0,81.7096405,6262.0,5959.8,262,5.700759813
9012,14.9222,78.0028,14.9146,78.00624,548.8594773,544.0,225,1441,4.163808856,2.039795637,0.0,117.0291443,12482.0,12472.6,238,4.249233595
10004,23.0542,74.3197,23.05625,74.31874,364.0338056,357.0,216,567,4.107836219,3.138582945,0.0,47.24124908,3121.0,3608.2,218,4.487977777
10005,24.0867,74.4756,24.08543,74.47293,436.671917,459.0,216,588,4.509529983,2.68021369,0.0,85.16098785,1510.0,1272.2,217,6.366061754
10008,22.5347,73.1408,22.53544,73.14376,306.2759274,301.0,2,1005,4.750513786,2.803431034,0.0,114.0417633,32510.0,33305.6,12,4.61673148
10010,23.3497,74.7181,23.34788,74.72291,456.8879124,459.0,286,602,2.739625003,2.03105998,0.0,48.37671661,3880.0,3768.8,294,4.258782975
10011,23.7675,74.1367,23.76459,74.13541,390.3901901,400.0,128,1005,5.667079925,3.211387634,0.0,99.45008087,16247.0,16472.3,134,5.507219923
10013,22.1103,73.0789,22.1104,73.07707,58.04293846,44.0,13,809,1.622677966,0.942895889,0.0,118.6946716,2400.0,2565.5,21,1.215700821
10014,23.8728,74.2236,23.87292,74.22287,386.9892031,385.0,148,1005,6.891892308,3.883082867,0.0,99.45008087,8329.0,8586.2,154,5.975791045
11001,23.5764,72.8067,23.577,72.80624,426.9952625,393.0,88,1173,11.28491814,6.037479401,0.0,131.2857819,6724.0,6396.1,89,6.493777506
11005,24.3556,73.1681,24.35624,73.16876,624.2221473,616.0,284,1173,16.5878816,11.81294632,0.0,131.2857819,1421.0,1885.1,288,9.165259915
11006,24.2311,73.0083,24.23125,73.01041,571.3328527,566.0,206,1173,14.76824092,10.57557678,0.0,131.2857819,3650.0,3433.4,211,7.914570366
11007,22.9772,72.8844,22.97708,72.88542,163.885356,154.0,35,380,2.579361503,1.738614082,0.0,39.06821823,2916.0,3025.2,40,2.839690224
11010,22.6497,72.5356,22.64791,72.5354,231.7910185,164.0,4,1173,5.596199564,1.779052377,0.0,131.2857819,19636.0,18325.1,11,3.483004879
12001,22.4842,80.3781,22.48542,80.37708,586.4026086,581.0,442,905,4.650595077,3.222442389,0.0,60.95046997,1864.0,2579.1,444,4.235761513
12004,23.0308,79.0156,23.03126,79.01458,569.9489272,556.0,309,1139,6.052295361,3.441246986,0.0,91.25751495,26453.0,26297.6,320,5.801452987
12006,22.9278,79.3397,22.92708,79.33958,559.4917926,583.0,346,895,5.64418675,3.415314198,0.0,59.4763298,1508.0,1489.5,342,6.912420267
12009,22.05,73.4661,22.04789,73.46456,193.4952806,177.0,16,807,5.003922036,2.270793915,0.0,78.78954315,3846.0,3957.8,18,3.97029497
12012,22.4058,77.3081,22.40627,77.3104,506.3907967,512.0,289,827,8.302373105,5.848995209,0.0,62.37525177,1729.0,1764.8,292,7.707312556
12015,22.2056,74.8519,22.20625,74.85208,334.2696608,317.0,150,573,5.050617642,3.399659395,0.0,54.72631454,787.0,787.1,152,6.488080215
12016,22.9478,81.0761,22.94792,81.07708,834.2984277,805.0,656,1139,8.232341721,4.714479446,0.0,63.25278473,2292.0,2326.9,656,7.165767963
12018,22.9228,78.7908,22.92291,78.79373,631.5899492,634.0,322,1093,9.058485628,6.16570282,0.0,80.16034698,2270.0,2231.9,329,10.77950892
12020,21.8864,73.6544,21.88542,73.65626,439.4832859,397.0,9,1317,5.884934862,2.719727516,0.0,161.1884308,87892.0,87738.7,17,6.155111609
12025,22.4917,76.9936,22.49374,76.99368,508.4395334,470.0,259,1317,5.935102791,2.872352362,0.0,161.1884308,54027.0,52733.6,260,5.94643772
12026,22.7561,77.7328,22.76042,77.73129,527.2687412,491.0,281,1317,6.1673383,3.06984663,0.0,161.1884308,44548.0,45142.3,287,6.207107696
12029,22.1014,75.6842,22.1021,75.68123,372.2109883,325.0,153,980,4.974433261,2.458771706,0.0,85.42969513,3919.0,3934.0,155,7.601772093
12035,22.1683,75.6608,22.16875,75.66041,461.1159435,416.0,131,1317,5.40015535,2.537073374,0.0,161.1884308,72809.0,72672.6,141,5.756073803
12036,22.7358,80.5131,22.73541,80.51457,765.9497297,761.0,442,1139,8.353376676,5.393496513,0.0,66.64533234,4667.0,4943.3,448,7.546842638
