gauge_id,geol_porosity,geol_permeability,geol_class_1st,geol_class_1st_frac,geol_class_2nd,geol_class_2nd_frac,carb_rocks_frac
6008,0.020536175,0.724423429,Metamorphic Rocks,0.6,Acid Plutonic Rocks,0.4,0.0
7001,0.099607161,0.729898421,Unconsolidated Sediments,0.75,Metamorphic Rocks,0.25,0.0
7002,0.031342292,0.72724702,Basic Volcanic Rocks,0.333333333,Basic Volcanic Rocks,0.333333333,0.0
7005,0.053229381,0.733160885,Basic Volcanic Rocks,1.0,,0.0,0.0
7007,0.030070308,0.725009204,Metamorphic Rocks,0.75,Unconsolidated Sediments,0.125,0.0
7008,0.041559135,0.726517803,Metamorphic Rocks,1.0,,0.0,0.0
7009,0.056427093,0.725216176,Metamorphic Rocks,0.5,Unconsolidated Sediments,0.333333333,0.0
7011,0.03690808,0.725964219,Metamorphic Rocks,1.0,,0.0,0.0
7015,0.031077853,0.723558212,Unconsolidated Sediments,1.0,,0.0,0.0
8001,0.124428762,0.715673509,Metamorphic Rocks,1.0,,0.0,0.0
8003,0.150576064,0.712304429,Siliciclastic Sedimentary Rocks,0.75,Metamorphic Rocks,0.25,0.0
8005,0.05087749,0.71862435,Acid Plutonic Rocks,1.0,,0.0,0.0
8006,0.122850602,0.714319409,Mixed Sedimentary Rocks,0.454545455,Acid Plutonic Rocks,0.227272727,0.0
8009,0.05230347,0.718749497,Mixed Sedimentary Rocks,1.0,,0.0,0.0
8011,0.136232456,0.714283541,Mixed Sedimentary Rocks,0.727272727,Metamorphic Rocks,0.090909091,0.0
8013,0.030924326,0.721988167,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
8016,0.044440564,0.721331964,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
8020,0.106374718,0.723123798,Mixed Sedimentary Rocks,0.5,Acid Plutonic Rocks,0.25,0.0
8021,0.132451134,0.717513009,Siliciclastic Sedimentary Rocks,0.5,Siliciclastic Sedimentary Rocks,0.5,0.0
8023,0.183023593,0.70617792,Siliciclastic Sedimentary Rocks,1.0,,0.0,0.0
8028,0.18989128,0.704703853,Mixed Sedimentary Rocks,1.0,,0.0,0.0
8029,0.065895213,0.718333875,Acid Plutonic Rocks,0.5,Mixed Sedimentary Rocks,0.25,0.0
8030,0.039322033,0.719793789,Acid Plutonic Rocks,0.571428571,Mixed Sedimentary Rocks,0.285714286,0.0
8031,0.047063355,0.719010139,Mixed Sedimentary Rocks,0.333333333,Mixed Sedimentary Rocks,0.333333333,0.0
8034,0.115848194,0.714939392,Mixed Sedimentary Rocks,0.529411765,Acid Plutonic Rocks,0.294117647,0.0
8035,0.143502062,0.715766349,Mixed Sedimentary Rocks,0.666666667,Acid Plutonic Rocks,0.166666667,0.0
8036,0.032079858,0.721766989,Metamorphic Rocks,1.0,,0.0,0.0
8038,0.086492949,0.717159969,Metamorphic Rocks,0.391304348,Mixed Sedimentary Rocks,0.260869565,0.0
9001,0.179585453,0.70572638,Siliciclastic Sedimentary Rocks,0.5,Siliciclastic Sedimentary Rocks,0.5,0.0
9002,0.072143647,0.716155998,Metamorphic Rocks,0.5,Mixed Sedimentary Rocks,0.25,0.0
9005,0.044133846,0.721226379,Metamorphic Rocks,1.0,,0.0,0.0
9008,0.033265306,0.720407504,Metamorphic Rocks,1.0,,0.0,0.0
9009,0.060638336,0.717614111,Metamorphic Rocks,0.666666667,Mixed Sedimentary Rocks,0.166666667,0.0
9011,0.011907197,0.722965149,Metamorphic Rocks,1.0,,0.0,0.0
9012,0.020607852,0.722148556,Metamorphic Rocks,0.5,Metamorphic Rocks,0.5,0.0
10004,0.053125088,0.736074667,Basic Volcanic Rocks,0.5,Basic Volcanic Rocks,0.5,0.0
10005,0.063950472,0.72089865,Mixed Sedimentary Rocks,1.0,,0.0,0.0
10008,0.051293076,0.736490007,Metamorphic Rocks,0.384615385,Basic Volcanic Rocks,0.230769231,0.230769231
10010,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
10011,0.054882014,0.739801346,Basic Volcanic Rocks,0.333333333,Basic Volcanic Rocks,0.333333333,0.333333333
10013,0.183244535,0.738922759,Unconsolidated Sediments,1.0,,0.0,0.0
10014,0.032802666,0.732341502,Mixed Sedimentary Rocks,0.333333333,Mixed Sedimentary Rocks,0.333333333,0.333333333
11001,0.144768004,0.718415806,Mixed Sedimentary Rocks,0.666666667,Unconsolidated Sediments,0.333333333,0.0
11005,0.10040605,0.713633428,Mixed Sedimentary Rocks,1.0,,0.0,0.0
11006,0.119583453,0.71171027,Mixed Sedimentary Rocks,1.0,,0.0,0.0
11007,0.071130391,0.730008989,Unconsolidated Sediments,1.0,,0.0,0.0
11010,0.152108995,0.729273909,Unconsolidated Sediments,0.571428571,Mixed Sedimentary Rocks,0.285714286,0.0
12001,0.019362279,0.724548159,Metamorphic Rocks,0.6,Mixed Sedimentary Rocks,0.2,0.0
12004,0.099179806,0.73897043,Basic Volcanic Rocks,0.75,Unconsolidated Sediments,0.125,0.0
12006,0.092479883,0.749200263,Basic Volcanic Rocks,1.0,,0.0,0.0
12009,0.070162309,0.731440673,Unconsolidated Sediments,1.0,,0.0,0.0
12012,0.106340047,0.736451847,Basic Volcanic Rocks,0.5,Unconsolidated Sediments,0.25,0.0
12015,0.092012101,0.743690496,Basic Volcanic Rocks,1.0,,0.0,0.0
12016,0.105589818,0.748568454,Basic Volcanic Rocks,1.0,,0.0,0.0
12018,0.136562957,0.739591362,Basic Volcanic Rocks,0.5,Basic Volcanic Rocks,0.5,0.0
12020,0.112492015,0.738243545,Basic Volcanic Rocks,0.666666667,Unconsolidated Sediments,0.133333333,0.0
12025,0.123097092,0.735001817,Basic Volcanic Rocks,0.5625,Unconsolidated Sediments,0.1875,0.0
12026,0.120273971,0.734544915,Basic Volcanic Rocks,0.533333333,Unconsolidated Sediments,0.2,0.0
12029,0.090000004,0.749894209,Basic Volcanic Rocks,1.0,,0.0,0.0
12035,0.117313508,0.736899882,Basic Volcanic Rocks,0.625,Unconsolidated Sediments,0.166666667,0.0
12036,0.098118715,0.749218118,Basic Volcanic Rocks,1.0,,0.0,0.0
12038,0.093011696,0.737955126,Basic Volcanic Rocks,0.5,Basic Volcanic Rocks,0.5,0.0
12043,0.1484653,0.726381919,Unconsolidated Sediments,0.5,Unconsolidated Sediments,0.5,0.0
12044,0.090019506,0.749892914,Basic Volcanic Rocks,1.0,,0.0,0.0
12046,0.113246998,0.739174184,Basic Volcanic Rocks,0.7,Unconsolidated Sediments,0.1,0.0
