gauge_id,soil_depth,soil_conductivity_top,soil_conductivity_sub,soil_awc_top,soil_awc_sub,soil_awsc_min,soil_awsc_max,soil_awsc_major,sand_frac_top,sand_frac_sub,silt_frac_top,silt_frac_sub,clay_frac_top,clay_frac_sub,gravel_frac_top,gravel_frac_sub,bulkdens_top_major,bulkdense_top_mean,bulkdens_sub_major,bulkdens_sub_mean,org_carb_top_major,org_carb_top_mean,org_carb_sub_major,org_carb_sub_mean,organic_frac_top,organic_frac_sub,hsg_major,wtd
7015,1.548962149,6.716984318,2.56675269,0.242705428,0.254143752,25,150,150,43,0,34,0,23,0,26,0,1.39,1.484017094,1.45,1.45,1.4,0.991025641,0.0,0.141025641,0.030499275,0.013322481,D,-2.110639612
8001,1.313142047,7.263160812,2.7727302,0.199735908,0.19484943,25,150,150,79,68,11,10,10,22,7,4,1.59,1.519113924,1.45,1.45,0.53,0.83835443,0.3,0.193670886,0.019658612,0.006829146,D,-1.538422308
8003,2.089570159,7.104116754,2.89603471,0.196926576,0.19757758,25,150,150,79,68,11,10,10,22,7,4,1.59,1.540432277,1.45,1.45,0.53,0.745619597,0.3,0.225648415,0.021230788,0.008982005,D,-0.71207502
8005,1.498262165,9.982307365,3.631175129,0.225245005,0.231523458,75,150,150,79,68,11,10,10,22,7,4,1.59,1.536902655,1.45,1.418141593,0.53,0.617610619,0.3,0.321238938,0.024395126,0.008844161,D,-1.110057438
8006,2.432178023,9.471602055,3.668087128,0.202258075,0.20219413,25,150,150,79,68,11,10,10,22,7,4,1.59,1.521967054,1.45,1.412274907,0.53,0.673938953,0.3,0.286443798,0.019349102,0.007628329,D,-0.09091221
8009,1.422234244,6.938098346,2.709699882,0.213633437,0.215126934,25,150,75,79,68,11,10,10,22,7,4,1.59,1.571308411,1.45,1.45,0.53,0.611308411,0.3,0.271962617,0.023448566,0.009004168,D,-1.768076934
8011,2.437830156,9.360726061,3.615750662,0.200457488,0.198397227,25,150,150,79,68,11,10,10,22,7,4,1.59,1.510114723,1.45,1.40157672,0.53,0.684674952,0.3,0.284493308,0.018229657,0.007081269,D,-0.131032753
8013,3.459665025,12.76748619,4.793443434,0.235177167,0.245834605,150,150,150,47,39,29,27,24,34,9,8,1.39,1.47985755,1.33,1.385270655,0.86,0.704900285,0.38,0.333618234,0.024287133,0.009664787,C,-0.404307868
8016,1.587365591,13.27950339,4.955182601,0.23074167,0.240272369,150,150,150,47,39,29,27,24,34,9,8,1.39,1.462205882,1.33,1.374068627,0.86,0.73625,0.38,0.34627451,0.022096232,0.007778522,C,-0.54806979
8020,1.461240751,10.27099878,4.021448498,0.203817689,0.201712949,25,150,150,79,68,11,10,10,22,7,4,1.59,1.526854839,1.45,1.408117155,0.53,0.626774194,0.3,0.301532258,0.018282384,0.00689094,C,-0.270700614
8021,1.272712256,5.776084896,2.398667865,0.213586492,0.219133408,25,150,150,79,68,11,10,10,22,7,4,1.59,1.514311377,1.45,1.413478261,0.53,0.691856287,0.3,0.269461078,0.02478845,0.010894134,D,-1.349710041
8023,5.164122137,5.921239938,2.240879042,0.194532323,0.192176309,25,150,25,43,0,34,0,23,0,26,0,1.39,1.412222222,1.45,1.45,1.4,1.303333333,0.0,0.033333333,0.020171604,0.008340886,D,-3.86305536
